poi_id_1,poi_id_2,poi_name_1,poi_name_2,distance
46,191,Banoon Day Care,Hectare Company,
46,193,Banoon Day Care,Tools & Solutions,
46,172,Banoon Day Care,local content & government procurement,
46,175,Banoon Day Care,Events Investment Fund,
46,177,Banoon Day Care,Soudah Development Co,
46,43,Banoon Day Care,Construction Office,22.370197378653327
46,197,Banoon Day Care,Alibaba Cloud,
46,107,Banoon Day Care,Saudi Group for Research and Media,
46,166,Banoon Day Care,Alvarez and Marsal,
46,167,Banoon Day Care,Alkhair Capital,
46,44,Banoon Day Care,Event Company,10.06663554576431
46,174,Banoon Day Care,ROSHN,
46,540,Banoon Day Care,Saudi Industrial Development Fund,
46,173,Banoon Day Care,Roche,
46,196,Banoon Day Care,Valuable Capital financial company,
46,190,Banoon Day Care,eWTP Arabia Capital,
46,194,Banoon Day Care,Bim Company,
46,195,Banoon Day Care,Advanced Communications &Electronic,
46,595,Banoon Day Care,AL JURAID,
46,601,Banoon Day Care,BANK RIYAD,
46,602,Banoon Day Care,SNB BANK,
46,593,Banoon Day Care,Tamkeen Academy,
46,188,Banoon Day Care,Sports Boulevard,
46,189,Banoon Day Care,Tourism  Development Fund,
46,248,Banoon Day Care,5.09 (A.03),
46,313,Banoon Day Care,Khalil 2.05,
46,314,Banoon Day Care,Khalil2,
46,187,Banoon Day Care,King Salman Park,
46,309,Banoon Day Care,2.09.B4,
46,310,Banoon Day Care,2.09.b4.1,
46,307,Banoon Day Care,2.09.b3,
46,308,Banoon Day Care,2.09.b3.1,
46,305,Banoon Day Care,2.09.b2,
46,303,Banoon Day Care,2.09.b1,
46,304,Banoon Day Care,2.09.B1.1,
46,539,Banoon Day Care,Tagpod,
46,541,Banoon Day Care,1.10 Khalil,
46,306,Banoon Day Care,2.09.b2.1,
46,12,Banoon Day Care,SIWAR FOODS,
46,141,Banoon Day Care,gharam restaurant,
46,223,Banoon Day Care,CRÃˆME London,
46,73,Banoon Day Care,Monopoly,
46,77,Banoon Day Care,LE PERROQUET,
46,93,Banoon Day Care,Sushi Samba,
46,581,Banoon Day Care,KUURU,
46,71,Banoon Day Care,Black Tap,
46,207,Banoon Day Care,urth caffe,
46,582,Banoon Day Care,Good Food,
46,136,Banoon Day Care,veloce,
46,33,Banoon Day Care,Siwar Foods,
46,63,Banoon Day Care,siwar foods,
46,85,Banoon Day Care,Chalmont,
46,88,Banoon Day Care,EL Camino Taco Bar Restaurant,
46,89,Banoon Day Care,La Rustica Restaurant,
46,90,Banoon Day Care,Starbucks,
46,91,Banoon Day Care,A.O.K Kitchen,
46,135,Banoon Day Care,SPOUT CAFFE,
46,143,Banoon Day Care,CRÃˆME London,
46,84,Banoon Day Care,Pistrina,
46,128,Banoon Day Care,Mr Chow,
46,82,Banoon Day Care,Tale CafÃ©,
46,83,Banoon Day Care,Il Baretto,
46,163,Banoon Day Care,Dnkin,
46,237,Banoon Day Care,Triasta cafe,
46,273,Banoon Day Care,Il Baretto,
46,489,Banoon Day Care,Draft CafÃ©,
46,490,Banoon Day Care,Joe & The Juice,
46,491,Banoon Day Care,Pistrina Bakery,
46,538,Banoon Day Care,Zuma,
46,537,Banoon Day Care,lagate,
